Fecha,Estacion_mm,IMERG_v6B_mm,CR2MET_v2_mm,RFMEP_v2_mm,ERA5_mm,CHIRPS_v2_mm,TMPA-3B42v7_mm
1979-04-05,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-06,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-07,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-08,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-09,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-10,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-11,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-12,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-13,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-14,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-15,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-16,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-17,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-18,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-19,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-20,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-21,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-22,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-23,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-24,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-25,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-26,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-27,-9999,-9999,8.22,-9999,-9999,-9999,-9999
1979-04-28,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-29,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-04-30,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-01,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-02,-9999,-9999,10.43,-9999,-9999,-9999,-9999
1979-05-03,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-04,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-05,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-06,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-07,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-08,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-09,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-10,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-11,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-12,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-13,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-14,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-15,-9999,-9999,0,-9999,-9999,-9999,-9999
